gene_id,gene,gene_biotype,product,go_function,go_process
ATU_RS00005,,,pyruvate,protein serine/threonine kinase activity|0004674||IEA,protein phosphorylation|0006468||IEA
ATU_RS00010,actR,,two-component system response regulator ActR,,
ATU_RS00015,,,shikimate dehydrogenase,shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA,shikimate metabolic process|0019632||IEA
ATU_RS00020,coaE,,dephospho-CoA kinase,dephospho-CoA kinase activity|0004140||IEA,coenzyme A biosynthetic process|0015937||IEA
ATU_RS00025,dnaQ,,DNA polymerase III subunit epsilon,DNA binding|0003677||IEA,DNA replication|0006260||IEA
ATU_RS00030,secB,,protein-export chaperone SecB,unfolded protein binding|0051082||IEA,protein transport|0015031||IEA
ATU_RS00035,,,FxsA family protein,,
ATU_RS00040,,,Tim44/TimA family putative adaptor protein,,
ATU_RS00045,,,murein transglycosylase A,,
ATU_RS00050,,,Smr/MutS family protein,,
ATU_RS00055,,,helix-turn-helix domain-containing protein,,
ATU_RS00060,gyrB,,DNA topoisomerase (ATP-hydrolyzing) subunit B,DNA topoisomerase type II (double strand cut,DNA topological change|0006265||IEA
ATU_RS00065,,,nitroreductase family protein,,
ATU_RS00070,,,fumarylacetoacetate hydrolase family protein,catalytic activity|0003824||IEA,
ATU_RS00075,,,polyhydroxyalkanoate depolymerase,,
ATU_RS00080,,,M48 family metallopeptidase,metal ion binding|0046872||IEA,
ATU_RS00085,,,phosphoribosylanthranilate isomerase,phosphoribosylanthranilate isomerase activity|0004640||IEA,tryptophan biosynthetic process|0000162||IEA
ATU_RS00090,trpB,,tryptophan synthase subunit beta,tryptophan synthase activity|0004834||IEA,tryptophan biosynthetic process|0000162||IEA
ATU_RS00095,trpA,,tryptophan synthase subunit alpha,tryptophan synthase activity|0004834||IEA,tryptophan biosynthetic process|0000162||IEA
ATU_RS00100,accD,,acetyl-CoA carboxylase,acetyl-CoA carboxylase activity|0003989||IEA,fatty acid biosynthetic process|0006633||IEA
ATU_RS00105,,,folylpolyglutamate synthase/dihydrofolate synthase family protein,tetrahydrofolylpolyglutamate synthase activity|0004326||IEA,one-carbon metabolic process|0006730||IEA
ATU_RS00110,trxA,,thioredoxin,disulfide oxidoreductase activity|0015036||IEA,
ATU_RS00115,addA,,double-strand break repair helicase AddA,,double-strand break repair via homologous recombination|0000724||IEA
ATU_RS00120,addB,,double-strand break repair protein AddB,,double-strand break repair via homologous recombination|0000724||IEA
ATU_RS00125,,,nucleotidyltransferase family protein,,
ATU_RS00130,,,bifunctional tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE/phosphotransferase,,
ATU_RS00135,,,PAS domain-containing sensor histidine kinase,,
ATU_RS00140,ahcY,,adenosylhomocysteinase,adenosylhomocysteinase activity|0004013||IEA,one-carbon metabolic process|0006730||IEA
ATU_RS00145,,,HPr family phosphocarrier protein,,
ATU_RS00150,,,PTS sugar transporter subunit IIA,kinase activity|0016301||IEA,carbohydrate transport|0008643||IEA
ATU_RS00155,,,HPr kinase/phosphorylase,,
ATU_RS00160,chvG,,two-component system sensor histidine kinase ChvG,,
ATU_RS00165,chvI,,two-component system response regulator ChvI,,
ATU_RS00170,,,phosphoenolpyruvate carboxykinase,phosphoenolpyruvate carboxykinase (ATP) activity|0004612||IEA,gluconeogenesis|0006094||IEA
ATU_RS00175,arfB,,alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB,translation release factor activity|0003747||IEA,translational termination|0006415||IEA
ATU_RS00180,coaA,,type I pantothenate kinase,pantothenate kinase activity|0004594||IEA,coenzyme A biosynthetic process|0015937||IEA
ATU_RS00185,,,phosphoribosyl-ATP diphosphatase,phosphoribosyl-ATP diphosphatase activity|0004636||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00190,hisF,,imidazole glycerol phosphate synthase subunit HisF,imidazoleglycerol-phosphate synthase activity|0000107||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00195,hisA,,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity|0003949||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00200,hisH,,imidazole glycerol phosphate synthase subunit HisH,imidazoleglycerol-phosphate synthase activity|0000107||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00205,,,DUF2628 domain-containing protein,,
ATU_RS00210,hisB,,imidazoleglycerol-phosphate dehydratase HisB,imidazoleglycerol-phosphate dehydratase activity|0004424||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00215,hslV,,ATP-dependent protease subunit HslV,threonine-type endopeptidase activity|0004298||IEA,proteolysis involved in protein catabolic process|0051603||IEA
ATU_RS00220,hslU,,ATP-dependent protease ATPase subunit HslU,ATP binding|0005524||IEA,
ATU_RS00225,,,DUF1402 family protein,,
ATU_RS00230,,,malate synthase G,malate synthase activity|0004474||IEA,glyoxylate cycle|0006097||IEA
ATU_RS00235,,,L,acyltransferase activity|0016746||IEA,peptidoglycan-protein cross-linking|0018104||IEA
ATU_RS00240,,,MmcB family DNA repair protein,,
ATU_RS00245,,,ActR/PrrA/RegA family redox response regulator transcription factor,,phosphorelay signal transduction system|0000160||IEA
ATU_RS00250,actS,,two-component system sensor histidine kinase ActS,,
ATU_RS00255,hrpB,,ATP-dependent helicase HrpB,helicase activity|0004386||IEA,nucleobase-containing compound metabolic process|0006139||IEA
ATU_RS00295,recQ,,DNA helicase RecQ,DNA helicase activity|0003678||IEA,DNA recombination|0006310||IEA
ATU_RS00300,,,ROK family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS00305,,,sugar ABC transporter substrate-binding protein,,
ATU_RS00310,,,ABC transporter permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS00315,,,ATP-binding cassette domain-containing protein,ATP binding|0005524||IEA,
ATU_RS00320,,,nucleoside triphosphate hydrolase,,
ATU_RS00325,nrdH,,glutaredoxin-like protein NrdH,,
ATU_RS00330,nrdI,,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,,deoxyribonucleotide biosynthetic process|0009263||IEA
ATU_RS00335,nrdE,,class 1b ribonucleoside-diphosphate reductase subunit alpha,ribonucleoside-diphosphate reductase activity,DNA replication|0006260||IEA
ATU_RS00340,nrdF,,class 1b ribonucleoside-diphosphate reductase subunit beta,ribonucleoside-diphosphate reductase activity,2'-deoxyribonucleotide biosynthetic process|0009265||IEA
ATU_RS00345,,,alpha/beta hydrolase,,
ATU_RS00350,recF,,DNA replication/repair protein RecF,single-stranded DNA binding|0003697||IEA,DNA repair|0006281||IEA
ATU_RS00355,,,molybdopterin-synthase adenylyltransferase MoeB,,Mo-molybdopterin cofactor biosynthetic process|0006777||IEA
ATU_RS00360,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS00365,,,hypothetical protein,,
ATU_RS00370,,,D-glycerate dehydrogenase,glycerate dehydrogenase activity|0008465||IEA,
ATU_RS00375,,,SH3 domain-containing protein,protein binding|0005515||IEA,
ATU_RS00380,,,adenosine kinase,,
ATU_RS00385,,,AEC family transporter,,transmembrane transport|0055085||IEA
ATU_RS00390,,,class I SAM-dependent methyltransferase,nucleic acid binding|0003676||IEA,
ATU_RS00395,pnp,,polyribonucleotide nucleotidyltransferase,polyribonucleotide nucleotidyltransferase activity|0004654||IEA,mRNA catabolic process|0006402||IEA
ATU_RS00400,rpsO,,30S ribosomal protein S15,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA
ATU_RS00405,truB,,tRNA pseudouridine(55) synthase TruB,pseudouridylate synthase activity|0004730||IEA,tRNA modification|0006400||IEA
ATU_RS00410,rbfA,,30S ribosome-binding factor RbfA,,rRNA processing|0006364||IEA
ATU_RS00415,infB,,translation initiation factor IF-2,translation initiation factor activity|0003743||IEA,translational initiation|0006413||IEA
ATU_RS00420,,,RNA-binding protein,,
ATU_RS00425,nusA,,transcription termination factor NusA,,DNA-templated transcription termination|0006353||IEA
ATU_RS00430,rimP,,ribosome maturation factor RimP,,
ATU_RS00435,,,MFS transporter,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA
ATU_RS00440,,,lytic murein transglycosylase,glycosyltransferase activity|0016757||IEA,peptidoglycan catabolic process|0009253||IEA
ATU_RS00445,recR,,recombination mediator RecR,,DNA repair|0006281||IEA
ATU_RS00450,,,MOSC domain-containing protein,catalytic activity|0003824||IEA,
ATU_RS00455,,,YbaB/EbfC family nucleoid-associated protein,DNA binding|0003677||IEA,biological_process|0008150||IEA
ATU_RS00460,,,DNA polymerase III subunit gamma/tau,DNA-directed DNA polymerase activity|0003887||IEA,DNA replication|0006260||IEA
ATU_RS00470,,,HIT domain-containing protein,S-adenosyl-L-methionine binding|1904047||IEA,
ATU_RS00475,nudC,,NAD(+) diphosphatase,NAD+ diphosphatase activity|0000210||IEA,
ATU_RS00480,,,prephenate dehydratase,prephenate dehydratase activity|0004664||IEA,L-phenylalanine biosynthetic process|0009094||IEA
ATU_RS00485,,,3-deoxy-manno-octulosonate cytidylyltransferase,3-deoxy-manno-octulosonate cytidylyltransferase activity|0008690||IEA,
ATU_RS00490,,,cytochrome c family protein,,
ATU_RS00495,,,sugar transferase,,
ATU_RS00500,,,transglycosylase domain-containing protein,glycosyltransferase activity|0016757||IEA,
ATU_RS00505,,,YbaK/EbsC family protein,,
ATU_RS00510,,,cold-shock protein,transcription antitermination factor activity,
ATU_RS00515,,,dipeptidase,hydrolase activity|0016787||IEA,
ATU_RS00520,,,MarR family winged helix-turn-helix transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS00525,,,hypothetical protein,,
ATU_RS00530,polA,,DNA polymerase I,nucleic acid binding|0003676||IEA,DNA-templated DNA replication|0006261||IEA
ATU_RS00535,,,DUF1868 domain-containing protein,,
ATU_RS00540,rpmF,,50S ribosomal protein L32,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA
ATU_RS00545,,,sensor histidine kinase,,
ATU_RS00550,,,sigma-54 dependent transcriptional regulator,ATP binding|0005524||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS00555,,,tripartite tricarboxylate transporter substrate-binding protein,,
ATU_RS00560,,,tripartite tricarboxylate transporter TctB family protein,transporter activity|0005215||IEA,
ATU_RS00565,,,tripartite tricarboxylate transporter permease,,
ATU_RS00570,,,SlyX family protein,,
ATU_RS00575,,,DUF924 family protein,,
ATU_RS00580,dnaJ,,molecular chaperone DnaJ,protein binding|0005515||IEA,protein folding|0006457||IEA
ATU_RS00585,dnaK,,molecular chaperone DnaK,ATP binding|0005524||IEA,protein folding|0006457||IEA
ATU_RS00595,,,hypothetical protein,,
ATU_RS00600,msrA,,peptide-methionine (S)-S-oxide reductase MsrA,peptide-methionine (S)-S-oxide reductase activity|0008113||IEA,response to oxidative stress|0006979||IEA
ATU_RS00605,,,BMP family protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS00610,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS00615,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS00620,,,ABC transporter permease,,
ATU_RS00625,,,cytidine deaminase,cytidine deaminase activity|0004126||IEA,cytidine deamination|0009972||IEA
ATU_RS00630,,,purine-nucleoside phosphorylase,purine-nucleoside phosphorylase activity|0004731||IEA,nucleoside metabolic process|0009116||IEA
ATU_RS00635,deoC,,deoxyribose-phosphate aldolase,deoxyribose-phosphate aldolase activity|0004139||IEA,deoxyribonucleotide catabolic process|0009264||IEA
ATU_RS00640,deoA,,thymidine phosphorylase,thymidine phosphorylase activity|0009032||IEA,nucleobase-containing compound metabolic process|0006139||IEA
ATU_RS00645,,,TIGR02281 family clan AA aspartic protease,,
ATU_RS00650,upp,,uracil phosphoribosyltransferase,uracil phosphoribosyltransferase activity|0004845||IEA,nucleoside metabolic process|0009116||IEA
ATU_RS00655,,,adenosine deaminase,adenine deaminase activity|0000034||IEA,adenine catabolic process|0006146||IEA
ATU_RS00660,,,phosphopentomutase,magnesium ion binding|0000287||IEA,nucleotide metabolic process|0009117||IEA
ATU_RS00665,,,SURF1 family protein,,
ATU_RS00670,cyoD,,cytochrome o ubiquinol oxidase subunit IV,cytochrome bo3 ubiquinol oxidase activity|0009486||IEA,electron transport coupled proton transport|0015990||IEA
ATU_RS00675,cyoC,,cytochrome o ubiquinol oxidase subunit III,cytochrome bo3 ubiquinol oxidase activity|0009486||IEA,electron transport coupled proton transport|0015990||IEA
ATU_RS00680,cyoB,,cytochrome o ubiquinol oxidase subunit I,cytochrome bo3 ubiquinol oxidase activity|0009486||IEA,electron transport coupled proton transport|0015990||IEA
ATU_RS00685,cyoA,,ubiquinol oxidase subunit II,cytochrome bo3 ubiquinol oxidase activity|0009486||IEA,electron transport coupled proton transport|0015990||IEA
ATU_RS00690,,,MFS transporter,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA
ATU_RS00695,,,glutamate synthase-related protein,glutamate synthase activity|0015930||IEA,glutamate biosynthetic process|0006537||IEA
ATU_RS00700,,,sulfite reductase subunit alpha,oxidoreductase activity|0016491||IEA,
ATU_RS00705,,,TadE/TadG family type IV pilus assembly protein,,
ATU_RS00710,,,TadE/TadG family type IV pilus assembly protein,,
ATU_RS00715,fabI,,enoyl-ACP reductase FabI,,
ATU_RS00720,fabB,,beta-ketoacyl-ACP synthase I,3-oxoacyl-[acyl-carrier-protein] synthase activity|0004315||IEA,fatty acid biosynthetic process|0006633||IEA
ATU_RS00725,fabA,,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA,(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity|0019171||IEA,
ATU_RS00730,irrA,,iron response transcriptional regulator IrrA,DNA-binding transcription factor activity|0003700||IEA,negative regulation of DNA-templated transcription|0045892||IEA
ATU_RS00735,,,trimeric intracellular cation channel family protein,,
ATU_RS00740,,,hypothetical protein,,
ATU_RS00745,,,YoaK family protein,,
ATU_RS00750,,,ABC transporter substrate-binding protein,,
ATU_RS00755,,,ABC transporter permease,ATP binding|0005524||IEA,
ATU_RS00760,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS00765,hutC,,histidine utilization repressor,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS00770,exbB,,tonB-system energizer ExbB,proton transmembrane transporter activity|0015078||IEA,
ATU_RS00775,exbD,,TonB system transport protein ExbD,secondary active transmembrane transporter activity|0015291||IEA,
ATU_RS00780,,,energy transducer TonB,,
ATU_RS00785,,,Ldh family oxidoreductase,,
ATU_RS00790,,,LuxR C-terminal-related transcriptional regulator,,regulation of DNA-templated transcription|0006355||IEA
ATU_RS00795,,,AraC family transcriptional regulator,,
ATU_RS00800,phnN,,phosphonate metabolism protein/1,molecular_function|0003674||IEA,organic phosphonate metabolic process|0019634||IEA
ATU_RS00805,,,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,hydrolase activity|0016787||IEA,organic phosphonate catabolic process|0019700||IEA
ATU_RS00810,,,DUF1045 domain-containing protein,,
ATU_RS00815,phnE,,phosphonate ABC transporter,ABC-type phosphonate transporter activity|0015416||IEA,organic phosphonate transport|0015716||IEA
ATU_RS00820,phnE,,phosphonate ABC transporter,ABC-type phosphonate transporter activity|0015416||IEA,organic phosphonate transport|0015716||IEA
ATU_RS00825,phnD,,phosphonate ABC transporter substrate-binding protein,,organic phosphonate transport|0015716||IEA
ATU_RS00830,phnC,,phosphonate ABC transporter ATP-binding protein,ATP binding|0005524||IEA,organic phosphonate transport|0015716||IEA
ATU_RS00835,,,DapH/DapD/GlmU-related protein,,
ATU_RS00840,phnL,,phosphonate C-P lyase system protein PhnL,carbon phosphorus lyase activity|0018835||IEA,organic phosphonate metabolic process|0019634||IEA
ATU_RS00845,phnK,,phosphonate C-P lyase system protein PhnK,carbon phosphorus lyase activity|0018835||IEA,organic phosphonate metabolic process|0019634||IEA
ATU_RS00850,,,alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ,,
ATU_RS00855,,,carbon-phosphorus lyase complex subunit PhnI,,
ATU_RS00860,phnH,,phosphonate C-P lyase system protein PhnH,,organic phosphonate metabolic process|0019634||IEA
ATU_RS00865,phnG,,phosphonate C-P lyase system protein PhnG,,organic phosphonate transport|0015716||IEA
ATU_RS00870,phnF,,phosphonate metabolism transcriptional regulator PhnF,DNA-binding transcription factor activity|0003700||IEA,organic phosphonate transport|0015716||IEA
ATU_RS00875,dapB,,4-hydroxy-tetrahydrodipicolinate reductase,4-hydroxy-tetrahydrodipicolinate reductase|0008839||IEA,lysine biosynthetic process via diaminopimelate|0009089||IEA
ATU_RS00880,,,glucokinase,,
ATU_RS00885,,,methylglyoxal synthase,methylglyoxal synthase activity|0008929||IEA,methylglyoxal biosynthetic process|0019242||IEA
ATU_RS00890,mepA,,penicillin-insensitive murein endopeptidase,serine-type endopeptidase activity|0004252||IEA,proteolysis|0006508||IEA
ATU_RS00895,,,extracellular solute-binding protein,,
ATU_RS00900,,,microcin C ABC transporter permease YejB,,
ATU_RS00905,,,ABC transporter permease,,
ATU_RS00910,,,ABC transporter ATP-binding protein,,
ATU_RS00915,,,FAD-binding oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS00920,,,glutamine synthetase family protein,glutamine synthetase activity|0004356||IEA,glutamine biosynthetic process|0006542||IEA
ATU_RS00925,,,FAD-binding oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS00930,,,gluconokinase,ATP binding|0005524||IEA,D-gluconate catabolic process|0046177||IEA
ATU_RS00935,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS00940,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS00945,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS00950,,,ABC transporter substrate-binding protein,,
ATU_RS00955,,,AbrB family transcriptional regulator,,
ATU_RS00960,rirA,,iron-responsive transcriptional regulator RirA,,
ATU_RS00965,,,Fe(3+) ABC transporter substrate-binding protein,,
ATU_RS00970,,,M48 family metallopeptidase,,
ATU_RS00975,,,YjgN family protein,,
ATU_RS00980,,,CoA-acylating methylmalonate-semialdehyde dehydrogenase,malonate-semialdehyde dehydrogenase (acetylating) activity|0018478||IEA,
ATU_RS00985,,,putative quinol monooxygenase,monooxygenase activity|0004497||IEA,
ATU_RS00990,,,LysR family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS00995,,,DMT family transporter,transporter activity|0005215||IEA,transmembrane transport|0055085||IEA
ATU_RS01000,,,DUF475 domain-containing protein,,
ATU_RS01005,,,helix-turn-helix domain-containing protein,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS01010,,,C40 family peptidase,,
ATU_RS01015,,,hypothetical protein,,
ATU_RS01020,pncB,,nicotinate phosphoribosyltransferase,nicotinate phosphoribosyltransferase activity|0004516||IEA,nicotinate nucleotide salvage|0019358||IEA
ATU_RS01025,,,leucyl aminopeptidase,,
ATU_RS01030,,,tetratricopeptide repeat protein,,
ATU_RS01035,,,type II secretion system F family protein,,
ATU_RS01040,,,type II secretion system F family protein,,
ATU_RS01045,,,CpaF family protein,,
ATU_RS01050,,,CpaE family protein,,
ATU_RS01055,,,CpaD family pilus assembly protein,,
ATU_RS01060,,,type II and III secretion system protein family protein,,
ATU_RS01065,cpaB,,Flp pilus assembly protein CpaB,,
ATU_RS01070,,,prepilin peptidase,,
ATU_RS01075,,,Flp family type IVb pilin,,
ATU_RS01080,,,pilus assembly protein N-terminal domain-containing protein,,
ATU_RS01090,,,SelT/SelW/SelH family protein,,
ATU_RS01095,,,DoxX family protein,,
ATU_RS01100,,,type 1 glutamine amidotransferase,,
ATU_RS01105,,,YegP family protein,,
ATU_RS01110,,,GH25 family lysozyme,lysozyme activity|0003796||IEA,peptidoglycan catabolic process|0009253||IEA
ATU_RS01115,,,DMT family transporter,transporter activity|0005215||IEA,transmembrane transport|0055085||IEA
ATU_RS01120,,,PLP-dependent aminotransferase family protein,pyridoxal phosphate binding|0030170||IEA,
ATU_RS01125,,,hypothetical protein,,
ATU_RS01130,,,Rrf2 family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS01135,,,NAD(P)/FAD-dependent oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS01140,,,AraC family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,
ATU_RS01145,,,DUF2000 family protein,,
ATU_RS01150,lepA,,translation elongation factor 4,GTPase activity|0003924||IEA,
ATU_RS01155,,,carbon-nitrogen hydrolase family protein,,
ATU_RS01160,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS01165,,,ketosteroid isomerase-related protein,,
ATU_RS01170,,,helix-turn-helix domain-containing protein,,
ATU_RS01175,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS01180,,,alpha/beta fold hydrolase,,
ATU_RS01185,,,AraC family transcriptional regulator,sequence-specific DNA binding|0043565||IEA,
ATU_RS01190,,,TRAP transporter substrate-binding protein,,
ATU_RS01195,,,group III truncated hemoglobin,,
ATU_RS01200,mbfA,,iron exporter MbfA,,
ATU_RS01205,,,transglutaminase-like cysteine peptidase,,
ATU_RS01210,,,carboxylesterase,hydrolase activity|0016787||IEA,
ATU_RS01215,infC,,translation initiation factor IF-3,translation initiation factor activity|0003743||IEA,translational initiation|0006413||IEA
ATU_RS01220,rpmI,,50S ribosomal protein L35,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA
ATU_RS01225,rplT,,50S ribosomal protein L20,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA
ATU_RS01230,,,lipopolysaccharide kinase InaA family protein,,
ATU_RS01235,pheS,,phenylalanine--tRNA ligase subunit alpha,phenylalanine-tRNA ligase activity|0004826||IEA,phenylalanyl-tRNA aminoacylation|0006432||IEA
ATU_RS01240,pheT,,phenylalanine--tRNA ligase subunit beta,phenylalanine-tRNA ligase activity|0004826||IEA,phenylalanyl-tRNA aminoacylation|0006432||IEA
ATU_RS01245,,,aldo/keto reductase,oxidoreductase activity,
ATU_RS01250,,,LysR family transcriptional regulator,DNA-binding transcription activator activity|0001216||IEA,
ATU_RS01255,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS01260,,,aldo/keto reductase,,
ATU_RS01265,,,GlxA family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS01270,,,cysteine hydrolase family protein,,
ATU_RS01275,,,Gfo/Idh/MocA family protein,oxidoreductase activity|0016491||IEA,
ATU_RS01280,,,hypothetical protein,,
ATU_RS01285,,,hypothetical protein,,
ATU_RS01290,xseA,,exodeoxyribonuclease VII large subunit,exodeoxyribonuclease VII activity|0008855||IEA,DNA catabolic process|0006308||IEA
ATU_RS01295,,,mandelate racemase/muconate lactonizing enzyme family protein,,
ATU_RS01300,,,FadR/GntR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS01305,,,MarR family winged helix-turn-helix transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS01310,,,EamA family transporter,,
ATU_RS01315,,,aminopeptidase,,
ATU_RS01320,ybaK,,Cys-tRNA(Pro) deacylase,aminoacyl-tRNA editing activity|0002161||IEA,tRNA aminoacylation|0043039||IEA
ATU_RS01325,,,ArsC family reductase,,
ATU_RS26505,,,hypothetical protein,,
ATU_RS01330,,,2'-5' RNA ligase family protein,,
ATU_RS01335,,,TetR/AcrR family transcriptional regulator,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS01340,,,hypothetical protein,,
ATU_RS01345,guaA,,glutamine-hydrolyzing GMP synthase,GMP synthase (glutamine-hydrolyzing) activity|0003922||IEA,GMP biosynthetic process|0006177||IEA
ATU_RS01350,,,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,
ATU_RS01355,,,PaaI family thioesterase,thiolester hydrolase activity|0016790||IEA,
ATU_RS01360,,,TspO/MBR family protein,,
ATU_RS01365,,,DUF1513 domain-containing protein,,
ATU_RS01370,,,imelysin family protein,,
ATU_RS01375,,,di-heme oxidoredictase family protein,,
ATU_RS01380,,,imelysin family protein,,
ATU_RS01385,,,RsmB/NOP family class I SAM-dependent RNA methyltransferase,methyltransferase activity|0008168||IEA,
ATU_RS01390,,,septal ring lytic transglycosylase RlpA family protein,lyase activity|0016829||IEA,
ATU_RS01395,,,SDR family oxidoreductase,ATP binding|0005524||IEA,
ATU_RS01400,queG,,tRNA epoxyqueuosine(34) reductase QueG,4 iron,queuosine biosynthetic process|0008616||IEA
ATU_RS01405,,,glutathione S-transferase family protein,protein binding|0005515||IEA,glutathione metabolic process|0006749||IEA
ATU_RS01410,,,undecaprenyl-diphosphate phosphatase,undecaprenyl-diphosphatase activity|0050380||IEA,dephosphorylation|0016311||IEA
ATU_RS26510,,,hypothetical protein,,
ATU_RS01415,,,complex I NDUFA9 subunit family protein,,
ATU_RS01420,,,DUF1330 domain-containing protein,,
ATU_RS01425,pyrF,,orotidine-5'-phosphate decarboxylase,orotidine-5'-phosphate decarboxylase activity|0004590||IEA,'de novo' pyrimidine nucleobase biosynthetic process|0006207||IEA
ATU_RS01430,,,histidine phosphatase family protein,phosphatase activity|0016791||IEA,
ATU_RS01435,pmtA,,phospholipid N-methyltransferase PmtA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,
ATU_RS01440,dnaN,,DNA polymerase III subunit beta,DNA-directed DNA polymerase activity|0003887||IEA,DNA replication|0006260||IEA
ATU_RS01445,rsmI,,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,rRNA methyltransferase activity|0008649||IEA,rRNA 2'-O-methylation|0000451||IEA
ATU_RS01450,,,YraN family protein,nucleic acid binding|0003676||IEA,
ATU_RS01455,,,sugar O-acetyltransferase,acetyltransferase activity|0016407||IEA,
ATU_RS01460,,,extracellular solute-binding protein,,
ATU_RS01465,,,ABC transporter permease subunit,,transmembrane transport|0055085||IEA
ATU_RS01470,ugpE,,sn-glycerol-3-phosphate ABC transporter permease UgpE,,glycerol-3-phosphate transmembrane transport|0015794||IEA
ATU_RS01475,,,sn-glycerol-3-phosphate import ATP-binding protein UgpC,,
ATU_RS01480,,,cupin domain-containing protein,,
ATU_RS01485,gshB,,glutathione synthase,glutathione synthase activity|0004363||IEA,glutathione biosynthetic process|0006750||IEA
ATU_RS01490,,,YifB family Mg chelatase-like AAA ATPase,ATP binding|0005524||IEA,
ATU_RS01495,cysK,,cysteine synthase A,cysteine synthase activity|0004124||IEA,cysteine biosynthetic process from serine|0006535||IEA
ATU_RS01500,,,LysE family translocator,,
ATU_RS01505,dut,,dUTP diphosphatase,magnesium ion binding|0000287||IEA,dUMP biosynthetic process|0006226||IEA
ATU_RS01510,,,peptide chain release factor 3,GTPase activity|0003924||IEA,translational termination|0006415||IEA
ATU_RS01515,coaBC,,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,phosphopantothenate--cysteine ligase activity|0004632||IEA,coenzyme A biosynthetic process|0015937||IEA
ATU_RS01520,,,MmcQ/YjbR family DNA-binding protein,DNA binding|0003677||IEA,
ATU_RS01525,,,sterol desaturase family protein,oxidoreductase activity|0016491||IEA,lipid metabolic process|0006629||IEA
