gene_id,gene,gene_biotype,product,go_function,go_process
ATU_RS21195,,,hypothetical protein,,
ATU_RS21200,,,AraC family transcriptional regulator,,
ATU_RS21205,,,M14 family metallopeptidase,,
ATU_RS21210,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS21215,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS21220,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS21225,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21230,,,putative quinol monooxygenase,monooxygenase activity|0004497||IEA,
ATU_RS21235,,,bifunctional sugar phosphate isomerase/epimerase/4-hydroxyphenylpyruvate dioxygenase family protein,,
ATU_RS21240,,,TetR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS21245,aroQ,,type II 3-dehydroquinate dehydratase,3-dehydroquinate dehydratase activity|0003855||IEA,chorismate biosynthetic process|0009423||IEA
ATU_RS21250,,,shikimate dehydrogenase,,
ATU_RS21255,,,amino acid ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21260,,,transporter substrate-binding domain-containing protein,,
ATU_RS21265,,,transporter substrate-binding domain-containing protein,,
ATU_RS21270,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS21275,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS21280,,,3-carboxy-cis,3-carboxy-cis,
ATU_RS21285,pcaG,,protocatechuate 3,protocatechuate 3,3
ATU_RS21290,pcaH,,protocatechuate 3,protocatechuate 3,3
ATU_RS21295,pcaC,,4-carboxymuconolactone decarboxylase,4-carboxymuconolactone decarboxylase activity|0047575||IEA,
ATU_RS21300,pcaD,,3-oxoadipate enol-lactonase,3-oxoadipate enol-lactonase activity|0047570||IEA,beta-ketoadipate pathway|0042952||IEA
ATU_RS21305,pcaQ,,pca operon transcription factor PcaQ,DNA-binding transcription activator activity,3
ATU_RS21310,pobA,,4-hydroxybenzoate 3-monooxygenase,4-hydroxybenzoate 3-monooxygenase activity|0018659||IEA,benzoate metabolic process|0018874||IEA
ATU_RS21315,,,helix-turn-helix domain-containing protein,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS21320,,,IclR family transcriptional regulator,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS21325,,,3-oxoacid CoA-transferase subunit A,CoA-transferase activity|0008410||IEA,
